filePath,lineNumber,text,classification
DeepBank1.1/20029010,287,"nw/wsj/00/wsj_0029.parse 9 12 gold reduce-v 76 Cause_change_of_position_on_a_scale reduce.01 null ----- 2:1*11:1-ARG0=Cause 12:0-rel 13:2-ARG1=Patient 
",Cause_change_of_position_on_a_scale
DeepBank1.1/20029013,642,"nw/wsj/00/wsj_0029.parse 12 14 gold buy-v 13.5.1 Commerce_buy buy.01 null ----- 0:1*13:1-ARG0=Agent;Buyer 14:0-rel 15:4*33:1-ARG1=Theme;Goods 24:1-ARGM-TMP 
",Commerce_buy
DeepBank1.1/20031002,547,"nw/wsj/00/wsj_0031.parse 1 14 gold give-v 13.1-1 Giving give.01 null ----- 13:1-ARG0=Agent;Donor 14:0-rel 15:1-ARG2=Recipient;Recipient 16:2-ARG1=Theme;Theme 22:1-ARGM-TMP 
",Giving
DeepBank1.1/20033001,542,"nw/wsj/00/wsj_0033.parse 0 14 gold fall-v 45.6-1 Change_position_on_a_scale fall.01 null ----- 0:3-ARG1=Patient;Item 14:0-rel 15:1-ARG2=Extent;Difference 22:1-ARGM-TMP 24:1-ARG4 
",Change_position_on_a_scale
DeepBank1.1/20033004,351,"nw/wsj/00/wsj_0033.parse 3 2 gold follow-v 47.8 Cotheme follow.01 null ----- 0:1-ARG1=Theme;Theme 2:0-rel 3:2-ARG2=Co-Theme;Cotheme 
",Cotheme
DeepBank1.1/20034001,121,"nw/wsj/00/wsj_0034.parse 0 1 gold pick-v 13.5.1 Choosing pick.01 null ----- 0:1-ARG0=Agent;Cognizer 1:0-rel 2:2-ARG1=Theme;Chosen 
",Choosing
DeepBank1.1/20034002,562,"nw/wsj/00/wsj_0034.parse 1 22 gold trade-v 13.6-1 Exchange trade.01 null ----- 21:0-ARGM-MNR 22:0-rel 23:0-ARG1=Theme 
",Exchange
DeepBank1.1/20034011,383,"nw/wsj/00/wsj_0034.parse 10 2 gold bring-v 11.3-1 Bringing bring.01 null ----- 0:1-ARG0=Instrument 2:0-rel 3:1-ARG3 6:2-ARG1=Theme 
",Bringing
DeepBank1.1/20034016,202,"nw/wsj/00/wsj_0034.parse 15 4 gold stretch-v 47.7 Cause_expansion stretch.01 2 ----- 0:0-ARGM-DIS 1:1*10:1-ARG0 4:0-rel 5:1-ARG1 7:1-ARG2 10:2-ARGM-PRP 
",Cause_expansion
DeepBank1.1/20034023,470,"nw/wsj/00/wsj_0034.parse 22 4 gold drop-v 45.6-1 Change_position_on_a_scale drop.01 null ----- 0:1*10:1-ARGM-TMP 1:1-ARG1=Patient;Item 4:0-rel 5:2-ARG2=Extent;Difference 8:1-ARGM-TMP 
",Change_position_on_a_scale
DeepBank1.1/20034025,463,"nw/wsj/00/wsj_0034.parse 24 17 gold trade-v 13.6-1 Exchange trade.01 1 ----- 15:1-ARG1=Theme 17:0-rel 18:1-ARG3=Co-Theme 22:1-ARG4 
",Exchange
DeepBank1.1/20034026,507,"nw/wsj/00/wsj_0034.parse 25 2 gold trade-v 13.6-1 Exchange trade.01 1 ----- 1:1*21:1-ARG1=Theme 2:0-rel 3:1-ARG3=Co-Theme 12:2-ARGM-TMP 
",Exchange
DeepBank1.1/20034027,381,"nw/wsj/00/wsj_0034.parse 26 13 gold climb-v 45.6-1 Change_position_on_a_scale climb.02 null ----- 3:2-ARG1=Patient;Item 10:1-ARGM-TMP 13:0-rel 14:2-ARGM-MNR 
",Change_position_on_a_scale
DeepBank1.1/20034031,288,"nw/wsj/00/wsj_0034.parse 30 16 gold trade-v 13.6-1 Exchange trade.01 1 ----- 1:2*14:1-ARG1=Theme 16:0-rel 17:1-ARG3=Co-Theme 
",Exchange
DeepBank1.1/20034033,308,"nw/wsj/00/wsj_0034.parse 32 16 gold suggest-v 37.7-1-1 Statement suggest.01 null ----- 0:2*18:1-ARG1=Topic;Message 14:1-ARG0=Agent;Speaker 16:0-rel 
",Statement
DeepBank1.1/20034037,518,"nw/wsj/00/wsj_0034.parse 36 7 gold buy-v 13.5.1 Commerce_buy buy.01 null ----- 3:1-ARG0=Agent;Buyer 5:1-ARGM-TMP 6:0-ARGM-MOD 7:0-rel 8:2-ARG1=Theme;Goods 15:1-ARGM-LOC 
",Commerce_buy
DeepBank1.1/20034038,224,"nw/wsj/00/wsj_0034.parse 37 5 gold buy-v 13.5.1 Commerce_buy buy.01 null ----- 0:1-ARGM-MNR 2:1*9:1-ARG0=Agent;Buyer 3:0-ARGM-MOD 4:1-ARGM-ADV 5:0-rel 6:1-ARG1=Theme;Goods 8:1-ARGM-MNR 
",Commerce_buy
DeepBank1.1/20034039,665,"nw/wsj/00/wsj_0034.parse 38 4 gold insist-v 37.7 Statement insist.01 null ----- 1:1*2:1*3:1-ARG0=Agent;Speaker 4:0-rel 5:1-ARG1=Topic;Message 1:1*2:1-LINK-SLC 
",Statement
DeepBank1.1/20035002,310,"nw/wsj/00/wsj_0035.parse 1 18 gold sell-v 13.1-1 Commerce_sell sell.01 null ----- 14:1*19:1-ARG1=Theme;Goods 18:0-rel 20:1-ARGM-LOC 
",Commerce_sell
DeepBank1.1/20036004,197,"nw/wsj/00/wsj_0036.parse 3 5 gold suggest-v 37.7-1-1 Statement suggest.01 null ----- 0:2-ARG0=Agent;Speaker 5:0-rel 6:1-ARG1=Topic;Message 
",Statement
DeepBank1.1/20036007,407,"nw/wsj/00/wsj_0036.parse 6 20 gold fall-v 45.6-1 Change_position_on_a_scale fall.01 null ----- 0:1-ARGM-ADV 16:1-ARG1=Patient;Item 18:0-ARGM-MOD 20:0-rel 21:1-ARG2=Extent;Difference 
",Change_position_on_a_scale
DeepBank1.1/20036013,205,"nw/wsj/00/wsj_0036.parse 12 16 gold ask-v 37.1.2 Questioning ask.01 null ----- 1:2*17:1-ARG1=Topic;Message 15:1-ARG0=Agent;Speaker 16:0-rel 
",Questioning
DeepBank1.1/20036014,91,"nw/wsj/00/wsj_0036.parse 13 2 gold draw-v 10.1 Cause_motion draw.02 null ----- 1:1-ARG0=Agent 2:0-rel 3:1-ARG1=Theme 
",Cause_motion
DeepBank1.1/20036016,119,"nw/wsj/00/wsj_0036.parse 15 2 gold fall-v 45.6-1 Change_position_on_a_scale fall.01 null ----- 0:1-ARG1=Patient;Item 2:0-rel 3:1-ARGM-TMP 
",Change_position_on_a_scale
DeepBank1.1/20036018,221,"nw/wsj/00/wsj_0036.parse 17 5 gold predict-v 78 Predicting predict.01 1 ----- 1:1-ARG0=Cause;Evidence/Speaker 4:0-ARGM-NEG 5:0-rel 6:1-ARG1=Topic;Eventuality 
",Predicting
DeepBank1.1/20036019,250,"nw/wsj/00/wsj_0036.parse 18 10 gold provide-v 13.4.1-2 Supply provide.01 null ----- 6:1*8:1*9:1-ARG0=Agent 10:0-rel 11:2-ARG1=Theme 6:1*8:1-LINK-SLC 
",Supply
DeepBank1.1/20036020,159,"nw/wsj/00/wsj_0036.parse 19 3 gold watch-v 30.2 Perception_active watch.01 null ----- 0:1*4:1-ARG1=Stimulus;Phenomenon 2:1-ARGM-MNR 3:0-rel 5:1-ARGM-PNC 9:1-ARGM-DIS 
",Perception_active
DeepBank1.1/20036023,404,"nw/wsj/00/wsj_0036.parse 22 2 gold conform-v 26.9 Compliance conform.01 1 ----- 1:1-ARG1=Patient 2:0-rel 3:1-ARG2=Goal 
",Compliance
DeepBank1.1/20036024,171,"nw/wsj/00/wsj_0036.parse 23 4 gold see-v 30.1-1 Grasp see.01 null ----- 1:1-ARG0=Experiencer 3:0-ARGM-NEG 4:0-rel 5:1-ARG1=Stimulus 
",Grasp
DeepBank1.1/20036025,254,"nw/wsj/00/wsj_0036.parse 24 13 gold lead-v 59 Causation lead.03 null ----- 4:1*7:1*8:1*12:1-ARG0=Agent 13:0-rel 14:1-ARG2=Result 4:1*7:1-LINK-SLC 
",Causation
DeepBank1.1/20036027,345,"nw/wsj/00/wsj_0036.parse 26 15 gold rise-v 45.6-1 Change_position_on_a_scale rise.01 null ----- 0:2*14:1-ARG1=Patient;Item 15:0-rel 16:1-ARG2=Extent;Difference 18:2-ARGM-TMP 
",Change_position_on_a_scale
DeepBank1.1/20036028,229,"nw/wsj/00/wsj_0036.parse 27 3 gold estimate-v 54.4 Estimating estimate.01 1 ----- 0:1-ARG0=Agent 2:1-ARGM-TMP 3:0-rel 4:1-ARG1=Theme 
",Estimating
DeepBank1.1/20036029,297,"nw/wsj/00/wsj_0036.parse 28 2 gold fall-v 45.6-1 Change_position_on_a_scale fall.01 null ----- 0:1-ARG1=Patient;Item 2:0-rel 3:1-ARG2=Extent;Difference 5:1-ARG4 10:1-ARGM-TMP 
",Change_position_on_a_scale
DeepBank1.1/20036031,432,"nw/wsj/00/wsj_0036.parse 30 6 gold rise-v 45.6-1 Change_position_on_a_scale rise.01 null ----- 0:3*17:1-ARG1=Patient;Item 6:0-rel 7:1-ARG2=Extent;Difference 9:1-ARGM-TMP 11:1-ARG4 17:2-ARGM-ADV 
",Change_position_on_a_scale
DeepBank1.1/20036032,151,"nw/wsj/00/wsj_0036.parse 31 5 gold decline-v 45.6-1 Change_position_on_a_scale decline.01 null ----- 0:1-ARGM-ADV 4:1-ARG1=Patient;Item 5:0-rel 6:1-ARG2=Extent;Difference 
",Change_position_on_a_scale
DeepBank1.1/20036034,566,"nw/wsj/00/wsj_0036.parse 33 10 gold predict-v 78 Predicting predict.01 1 ----- 0:2-ARG0=Cause;Evidence/Speaker 10:0-rel 11:1-ARG1=Topic;Eventuality 
",Predicting
DeepBank1.1/20036036,224,"nw/wsj/00/wsj_0036.parse 35 3 gold rise-v 45.6-1 Change_position_on_a_scale rise.01 null ----- 0:1-ARG1=Patient;Item 3:0-rel 4:1-ARG2=Extent;Difference 6:1-ARG4 
",Change_position_on_a_scale
DeepBank1.1/20036040,235,"nw/wsj/00/wsj_0036.parse 39 1 gold report-v 37.7-1 Statement report.01 null ----- 0:1-ARG0 1:0-rel 2:2-ARG1 
",Statement
DeepBank1.1/20036041,271,"nw/wsj/00/wsj_0036.parse 40 2 gold count-v 108 Being_in_category count.01 null ----- 0:1-ARG0 2:0-rel 3:1-ARG1 4:1-ARGM-TMP 
",Being_in_category
DeepBank1.1/20036048,243,"nw/wsj/00/wsj_0036.parse 47 6 gold add-v 22.1-2 Statement add.02 null ----- 0:2-ARG0=Agent 5:1-ARGM-DIS 6:0-rel 7:1-ARG1=Patient 
",Statement
DeepBank1.1/20036052,170,"nw/wsj/00/wsj_0036.parse 51 1 gold consider-v 29.9-1-1-1 Categorization consider.01 null ----- 0:1-ARG0=Agent;Cognizer 1:0-rel 2:2-ARG1=Theme;Item 
",Categorization
DeepBank1.1/20036058,478,"nw/wsj/00/wsj_0036.parse 57 2 gold acknowledge-v 37.10 Statement acknowledge.01 null ----- 1:1*14:1-ARG0=Agent 2:0-rel 3:1-ARG1=Topic 
",Statement
